description,categorie,type_service,urgence,origine_probleme,specialite_requise,pieces_necessaires,solution,prevention,duree
L'ordinateur est infecté par un virus Cela se produit souvent.,software,reparation,critique,Conflit entre logiciels installés,Software,[],"Scanner et réparer le système avec un antivirus à jour et les outils de réparation Windows (sfc /scannow, DISM)",Effectuer des sauvegardes régulières sur disque externe ou cloud.,2.5
Les mises à jour automatiques échouent depuis hier.,software,installation,normale,Mise à jour défectueuse du système,Software,[],Installer et configurer le logiciel demandé avec les paramètres adaptés aux besoins du client,Créer des points de restauration avant toute modification système.,2.0
Le client indique que le disque dur fait un bruit de cliquetis Le client a besoin d'aide.,hardware,maintenance,haute,Vieillissement de la batterie,Hardware,"[""Pâte thermique"", ""Spray air comprimé""]",Nettoyer la poussière avec air comprimé et remplacer la pâte thermique du processeur,Remplacer la pâte thermique tous les 2 ans.,1.5
Problème signalé : le bloc d'alimentation émet des odeurs Cela se produit souvent.,hardware,maintenance,normale,Surchauffe causée par poussière accumulée,Hardware,"[""Pâte thermique"", ""Spray air comprimé""]",Nettoyer la poussière avec air comprimé et remplacer la pâte thermique du processeur,Éviter les chocs physiques et les environnements humides.,0.5
Le client indique que le connecteur de charge est endommagé depuis ce matin.,hardware,reparation,haute,Dommage physique suite à choc,Hardware,"[""RAM DDR4 8GB""]","Diagnostiquer et remplacer le composant matériel défaillant (disque dur, RAM, alimentation ou carte mère)",Vérifier régulièrement l'état de la batterie et des ventilateurs.,1.0
Le lecteur CD DVD n'ouvre plus Problème urgent.,hardware,maintenance,faible,Connexion interne défaillante,Hardware,"[""Pâte thermique"", ""Spray air comprimé""]",Nettoyer la poussière avec air comprimé et remplacer la pâte thermique du processeur,Nettoyer régulièrement l'intérieur du PC tous les 6 mois pour éviter la surchauffe.,1.5
Suite à un appel client : câblage réseau rj45 à installer Cela se produit souvent.,reseau,installation,faible,Incompatibilité de protocoles réseau,Réseau,"[""Switch 16 ports"", ""Câble RJ45 20m""]","Installer le câblage RJ45, le switch et configurer le réseau local complet des bureaux",Mettre à jour le firmware des équipements réseau.,3.0
L'ordinateur chauffe excessivement Merci d'intervenir rapidement.,hardware,reparation,faible,Défaillance matérielle due à l'usure,Hardware,"[""Batterie laptop""]","Diagnostiquer et remplacer le composant matériel défaillant (disque dur, RAM, alimentation ou carte mère)",Éviter les chocs physiques et les environnements humides.,1.0
Suite à un appel client : le disque dur fait un bruit de cliquetis depuis hier.,hardware,reparation,haute,Surchauffe causée par poussière accumulée,Hardware,"[""Clavier laptop""]","Diagnostiquer et remplacer le composant matériel défaillant (disque dur, RAM, alimentation ou carte mère)",Éviter les chocs physiques et les environnements humides.,2.0
Client signale : la carte mère émet des bips au démarrage,hardware,reparation,normale,Connexion interne défaillante,Hardware,[],"Diagnostiquer et remplacer le composant matériel défaillant (disque dur, RAM, alimentation ou carte mère)",Utiliser un onduleur pour protéger contre les coupures et surtensions.,2.5
Suite à un appel client : le logiciel erp ne se lance plus Problème urgent.,software,configuration,normale,Erreur de configuration système,Software,[],Configurer les paramètres système et les droits d'accès selon les besoins de l'entreprise,Effectuer des sauvegardes régulières sur disque externe ou cloud.,0.5
Le client indique que la carte graphique affiche des artefacts depuis ce matin.,hardware,reparation,faible,Défaillance matérielle due à l'usure,Hardware,"[""RAM DDR4 8GB""]","Diagnostiquer et remplacer le composant matériel défaillant (disque dur, RAM, alimentation ou carte mère)",Éviter les chocs physiques et les environnements humides.,2.0
Client signale : l'ordinateur ne démarre plus du tout Le client est inquiet.,hardware,reparation,critique,Connexion interne défaillante,Hardware,"[""Batterie laptop""]","Diagnostiquer et remplacer le composant matériel défaillant (disque dur, RAM, alimentation ou carte mère)",Utiliser un onduleur pour protéger contre les coupures et surtensions.,2.0
Suite à un appel client : le wifi est très lent et instable Problème urgent.,reseau,depannage,haute,Interférence WiFi avec autres équipements,Réseau,[],"Redémarrer les équipements réseau, vérifier les câbles et renouveler la configuration IP pour rétablir la connexion",Vérifier régulièrement les câbles et connexions réseau.,1.5
Le client indique que l'ordinateur est très lent au démarrage depuis hier.,software,configuration,haute,Conflit entre logiciels installés,Software,[],Configurer les paramètres système et les droits d'accès selon les besoins de l'entreprise,Mettre à jour régulièrement le système et les logiciels pour la sécurité.,1.0
Suite à un appel client : configuration qos pour prioriser les appels Problème urgent.,reseau,configuration,normale,Interférence WiFi avec autres équipements,Réseau,[],"Configurer le routeur, switch et DHCP pour mettre en place ou sécuriser le réseau local de l'entreprise",Mettre à jour le firmware des équipements réseau.,1.5
Problème signalé : la carte mère émet des bips au démarrage Le client a besoin d'aide.,hardware,reparation,normale,Court-circuit dans l'alimentation,Hardware,"[""Disque SSD 256GB"", ""Câble SATA""]","Diagnostiquer et remplacer le composant matériel défaillant (disque dur, RAM, alimentation ou carte mère)",Nettoyer régulièrement l'intérieur du PC tous les 6 mois pour éviter la surchauffe.,1.5
Signalement client : le haut-parleur ne produit aucun son Problème urgent.,hardware,maintenance,normale,Composant électronique endommagé,Hardware,"[""Spray air comprimé"", ""Spray nettoyant""]",Nettoyer la poussière avec air comprimé et remplacer la pâte thermique du processeur,Vérifier régulièrement l'état de la batterie et des ventilateurs.,1.5
Intervention requise : le processeur est surchargé température critique depuis hier.,hardware,maintenance,normale,Dommage physique suite à choc,Hardware,"[""Pâte thermique""]",Nettoyer la poussière avec air comprimé et remplacer la pâte thermique du processeur,Utiliser un onduleur pour protéger contre les coupures et surtensions.,1.0
Problème signalé : le serveur nas n'est plus accessible depuis hier.,reseau,configuration,faible,Équipement réseau défaillant,Réseau,"[""Câble RJ45 5m""]","Configurer le routeur, switch et DHCP pour mettre en place ou sécuriser le réseau local de l'entreprise",Mettre à jour le firmware des équipements réseau.,1.0
Le client se plaint que le PC redémarre aléatoirement,hardware,reparation,normale,Surchauffe causée par poussière accumulée,Hardware,"[""Connecteur de charge""]","Diagnostiquer et remplacer le composant matériel défaillant (disque dur, RAM, alimentation ou carte mère)",Éviter les chocs physiques et les environnements humides.,3.0
Client signale : impossible de se connecter au réseau Le client est inquiet.,reseau,depannage,faible,Mauvaise configuration des paramètres réseau,Réseau,[],"Redémarrer les équipements réseau, vérifier les câbles et renouveler la configuration IP pour rétablir la connexion",Documenter la configuration réseau pour faciliter les interventions futures.,1.5
Le disque dur externe n'est plus reconnu Le client est inquiet.,hardware,maintenance,normale,Surchauffe causée par poussière accumulée,Hardware,"[""Pâte thermique"", ""Spray air comprimé""]",Nettoyer la poussière avec air comprimé et remplacer la pâte thermique du processeur,Utiliser un onduleur pour protéger contre les coupures et surtensions.,0.5
Suite à un appel client : le système affiche une erreur de registre,software,installation,haute,Erreur de configuration système,Software,[],Installer et configurer le logiciel demandé avec les paramètres adaptés aux besoins du client,Créer des points de restauration avant toute modification système.,1.0
Signalement client : le disque dur fait un bruit de cliquetis depuis ce matin.,hardware,maintenance,haute,Court-circuit dans l'alimentation,Hardware,"[""Spray air comprimé"", ""Spray nettoyant""]",Nettoyer la poussière avec air comprimé et remplacer la pâte thermique du processeur,Nettoyer régulièrement l'intérieur du PC tous les 6 mois pour éviter la surchauffe.,1.0
Signalement client : mise en place d'un réseau local pour bureaux Le client a besoin d'aide.,reseau,installation,faible,Incompatibilité de protocoles réseau,Réseau,"[""Routeur fibre""]","Installer le câblage RJ45, le switch et configurer le réseau local complet des bureaux",Sécuriser le réseau WiFi avec un mot de passe fort WPA3.,2.0
Le haut-parleur ne produit aucun son Merci d'intervenir rapidement.,hardware,reparation,normale,Vieillissement de la batterie,Hardware,"[""Alimentation 500W""]","Diagnostiquer et remplacer le composant matériel défaillant (disque dur, RAM, alimentation ou carte mère)",Vérifier régulièrement l'état de la batterie et des ventilateurs.,3.0
Suite à un appel client : la batterie du laptop ne charge plus,hardware,maintenance,normale,Surchauffe causée par poussière accumulée,Hardware,"[""Pâte thermique""]",Nettoyer la poussière avec air comprimé et remplacer la pâte thermique du processeur,Nettoyer régulièrement l'intérieur du PC tous les 6 mois pour éviter la surchauffe.,0.5
Client signale : le pc redémarre aléatoirement,hardware,reparation,normale,Connexion interne défaillante,Hardware,"[""Ventilateur CPU"", ""Pâte thermique""]","Diagnostiquer et remplacer le composant matériel défaillant (disque dur, RAM, alimentation ou carte mère)",Vérifier régulièrement l'état de la batterie et des ventilateurs.,2.0
L'alimentation électrique ne démarre pas Merci d'intervenir rapidement.,hardware,reparation,normale,Court-circuit dans l'alimentation,Hardware,"[""Clavier laptop""]","Diagnostiquer et remplacer le composant matériel défaillant (disque dur, RAM, alimentation ou carte mère)",Remplacer la pâte thermique tous les 2 ans.,2.0
Demande d'intervention : microsoft office ne s'ouvre plus Merci d'intervenir rapidement.,software,configuration,faible,Infection par malware ou virus,Software,[],Configurer les paramètres système et les droits d'accès selon les besoins de l'entreprise,Éviter les logiciels piratés qui peuvent contenir des malwares.,0.5
Câblage réseau RJ45 à installer Le client a besoin d'aide.,reseau,installation,faible,Équipement réseau défaillant,Réseau,"[""Câble RJ45 10m"", ""Connecteurs RJ45""]","Installer le câblage RJ45, le switch et configurer le réseau local complet des bureaux",Sécuriser le réseau WiFi avec un mot de passe fort WPA3.,2.0
Demande d'intervention : windows demande une activation non valide Cela bloque le travail.,software,installation,normale,Licence expirée ou fichiers corrompus,Software,[],Installer et configurer le logiciel demandé avec les paramètres adaptés aux besoins du client,Effectuer des sauvegardes régulières sur disque externe ou cloud.,2.0
Signalement client : l'ordinateur est infecté par un virus Le client est inquiet.,software,installation,critique,Surcharge mémoire et fragmentation,Software,[],Installer et configurer le logiciel demandé avec les paramètres adaptés aux besoins du client,Mettre à jour régulièrement le système et les logiciels pour la sécurité.,2.0
Demande d'intervention : migration de windows 7 vers windows 10,software,reparation,normale,Erreur de configuration système,Software,[],"Scanner et réparer le système avec un antivirus à jour et les outils de réparation Windows (sfc /scannow, DISM)",Éviter les logiciels piratés qui peuvent contenir des malwares.,3.0
Intervention requise : migration de windows 7 vers windows 10 Le client est inquiet.,software,reparation,faible,Infection par malware ou virus,Software,[],"Scanner et réparer le système avec un antivirus à jour et les outils de réparation Windows (sfc /scannow, DISM)",Installer un antivirus fiable et le maintenir à jour.,2.5
Le routeur ne distribue plus d'adresses IP Merci d'intervenir rapidement.,reseau,configuration,faible,Câblage endommagé ou mal branché,Réseau,[],"Configurer le routeur, switch et DHCP pour mettre en place ou sécuriser le réseau local de l'entreprise",Vérifier régulièrement les câbles et connexions réseau.,1.0
Demande d'intervention : réinstallation complète de windows,software,installation,normale,Corruption du système d'exploitation,Software,[],Installer et configurer le logiciel demandé avec les paramètres adaptés aux besoins du client,Installer un antivirus fiable et le maintenir à jour.,1.0
Signalement client : partage d'imprimante réseau impossible Problème urgent.,reseau,configuration,normale,Interférence WiFi avec autres équipements,Réseau,"[""Switch 8 ports""]","Configurer le routeur, switch et DHCP pour mettre en place ou sécuriser le réseau local de l'entreprise",Surveiller la bande passante et optimiser l'utilisation.,2.5
Problème signalé : le profil utilisateur est corrompu Cela bloque le travail.,software,installation,normale,Infection par malware ou virus,Software,[],Installer et configurer le logiciel demandé avec les paramètres adaptés aux besoins du client,Installer un antivirus fiable et le maintenir à jour.,2.0
Suite à un appel client : une mise à jour a cassé une application,software,reparation,normale,Mise à jour défectueuse du système,Software,[],"Scanner et réparer le système avec un antivirus à jour et les outils de réparation Windows (sfc /scannow, DISM)",Installer un antivirus fiable et le maintenir à jour.,3.0
Le client se plaint que sécurisation du réseau WiFi entreprise depuis hier.,reseau,depannage,normale,Câblage endommagé ou mal branché,Réseau,[],"Redémarrer les équipements réseau, vérifier les câbles et renouveler la configuration IP pour rétablir la connexion",Surveiller la bande passante et optimiser l'utilisation.,1.0
La carte mère émet des bips au démarrage depuis ce matin.,hardware,reparation,faible,Dommage physique suite à choc,Hardware,"[""Disque dur HDD 1TB""]","Diagnostiquer et remplacer le composant matériel défaillant (disque dur, RAM, alimentation ou carte mère)",Utiliser un onduleur pour protéger contre les coupures et surtensions.,2.0
Client signale : le logiciel de facturation perd ses données depuis ce matin.,software,configuration,normale,Erreur de configuration système,Software,[],Configurer les paramètres système et les droits d'accès selon les besoins de l'entreprise,Créer des points de restauration avant toute modification système.,1.5
Signalement client : le système de sauvegarde automatique est arrêté Le client a besoin d'aide.,software,installation,faible,Infection par malware ou virus,Software,[],Installer et configurer le logiciel demandé avec les paramètres adaptés aux besoins du client,Installer un antivirus fiable et le maintenir à jour.,0.5
Problème signalé : impossible de se connecter au réseau depuis ce matin.,reseau,installation,normale,Câblage endommagé ou mal branché,Réseau,"[""Switch 16 ports"", ""Câble RJ45 20m""]","Installer le câblage RJ45, le switch et configurer le réseau local complet des bureaux",Sécuriser le réseau WiFi avec un mot de passe fort WPA3.,4.0
Le client se plaint que la bande passante est saturée Le client a besoin d'aide.,reseau,depannage,normale,Incompatibilité de protocoles réseau,Réseau,"[""Switch 8 ports""]","Redémarrer les équipements réseau, vérifier les câbles et renouveler la configuration IP pour rétablir la connexion",Vérifier régulièrement les câbles et connexions réseau.,1.0
Demande d'intervention : l'ordinateur est infecté par un ransomware,software,reparation,critique,Infection par malware ou virus,Software,[],"Scanner et réparer le système avec un antivirus à jour et les outils de réparation Windows (sfc /scannow, DISM)",Éviter les logiciels piratés qui peuvent contenir des malwares.,2.0
Client signale : boucle réseau détectée réseau instable Le client est inquiet.,reseau,depannage,haute,Surcharge de la bande passante,Réseau,"[""Câble RJ45 5m""]","Redémarrer les équipements réseau, vérifier les câbles et renouveler la configuration IP pour rétablir la connexion",Vérifier régulièrement les câbles et connexions réseau.,1.0
Le client se plaint que boucle réseau détectée réseau instable Problème urgent.,reseau,depannage,haute,Mauvaise configuration des paramètres réseau,Réseau,"[""Câble RJ45 5m""]","Redémarrer les équipements réseau, vérifier les câbles et renouveler la configuration IP pour rétablir la connexion",Surveiller la bande passante et optimiser l'utilisation.,1.0
Le client indique que impossible d'accéder au serveur de fichiers Merci d'intervenir rapidement.,reseau,configuration,normale,Incompatibilité de protocoles réseau,Réseau,"[""Switch 8 ports""]","Configurer le routeur, switch et DHCP pour mettre en place ou sécuriser le réseau local de l'entreprise",Mettre à jour le firmware des équipements réseau.,2.5
Le navigateur redirige vers des sites inconnus Le client a besoin d'aide.,software,installation,normale,Corruption du système d'exploitation,Software,[],Installer et configurer le logiciel demandé avec les paramètres adaptés aux besoins du client,Éviter les logiciels piratés qui peuvent contenir des malwares.,0.5
Intervention requise : windows demande une activation non valide,software,reparation,normale,Infection par malware ou virus,Software,[],"Scanner et réparer le système avec un antivirus à jour et les outils de réparation Windows (sfc /scannow, DISM)",Mettre à jour régulièrement le système et les logiciels pour la sécurité.,2.0
Le client indique que une mise à jour a cassé une application Problème urgent.,software,reparation,normale,Conflit entre logiciels installés,Software,[],"Scanner et réparer le système avec un antivirus à jour et les outils de réparation Windows (sfc /scannow, DISM)",Installer un antivirus fiable et le maintenir à jour.,2.5
Signalement client : problème de compatibilité après mise à jour Le client a besoin d'aide.,software,installation,normale,Surcharge mémoire et fragmentation,Software,[],Installer et configurer le logiciel demandé avec les paramètres adaptés aux besoins du client,Éviter les logiciels piratés qui peuvent contenir des malwares.,2.0
Problème signalé : impossible d'installer un logiciel,software,installation,normale,Surcharge mémoire et fragmentation,Software,[],Installer et configurer le logiciel demandé avec les paramètres adaptés aux besoins du client,Effectuer des sauvegardes régulières sur disque externe ou cloud.,1.5
Suite à un appel client : le connecteur de charge est endommagé Cela se produit souvent.,hardware,reparation,haute,Connexion interne défaillante,Hardware,"[""Batterie laptop""]","Diagnostiquer et remplacer le composant matériel défaillant (disque dur, RAM, alimentation ou carte mère)",Nettoyer régulièrement l'intérieur du PC tous les 6 mois pour éviter la surchauffe.,1.0
Le chargeur du laptop est cassé,hardware,reparation,normale,Dommage physique suite à choc,Hardware,[],"Diagnostiquer et remplacer le composant matériel défaillant (disque dur, RAM, alimentation ou carte mère)",Utiliser un onduleur pour protéger contre les coupures et surtensions.,1.5
Client signale : le scanner ne détecte plus les documents depuis ce matin.,hardware,maintenance,normale,Dommage physique suite à choc,Hardware,"[""Pâte thermique"", ""Spray air comprimé""]",Nettoyer la poussière avec air comprimé et remplacer la pâte thermique du processeur,Utiliser un onduleur pour protéger contre les coupures et surtensions.,1.5
Demande d'intervention : le clavier ne fonctionne plus depuis ce matin.,hardware,reparation,critique,Court-circuit dans l'alimentation,Hardware,"[""Alimentation 500W""]","Diagnostiquer et remplacer le composant matériel défaillant (disque dur, RAM, alimentation ou carte mère)",Vérifier régulièrement l'état de la batterie et des ventilateurs.,2.0
Suite à un appel client : le routeur ne distribue plus d'adresses ip Cela se produit souvent.,reseau,depannage,normale,Mauvaise configuration des paramètres réseau,Réseau,[],"Redémarrer les équipements réseau, vérifier les câbles et renouveler la configuration IP pour rétablir la connexion",Mettre à jour le firmware des équipements réseau.,1.0
Suite à un appel client : l'écran reste noir après allumage Le client est inquiet.,hardware,reparation,normale,Surchauffe causée par poussière accumulée,Hardware,"[""Disque dur HDD 1TB""]","Diagnostiquer et remplacer le composant matériel défaillant (disque dur, RAM, alimentation ou carte mère)",Vérifier régulièrement l'état de la batterie et des ventilateurs.,1.0
Signalement client : le disque dur fait un bruit de cliquetis Le client a besoin d'aide.,hardware,maintenance,normale,Connexion interne défaillante,Hardware,"[""Pâte thermique""]",Nettoyer la poussière avec air comprimé et remplacer la pâte thermique du processeur,Utiliser un onduleur pour protéger contre les coupures et surtensions.,1.0
Problème signalé : le disque dur externe n'est plus reconnu Cela bloque le travail.,hardware,maintenance,normale,Vieillissement de la batterie,Hardware,[],Nettoyer la poussière avec air comprimé et remplacer la pâte thermique du processeur,Remplacer la pâte thermique tous les 2 ans.,0.5
Intervention requise : pas de connexion internet câble branché depuis hier.,reseau,depannage,faible,Problème de sécurité réseau,Réseau,"[""Switch 8 ports""]","Redémarrer les équipements réseau, vérifier les câbles et renouveler la configuration IP pour rétablir la connexion",Documenter la configuration réseau pour faciliter les interventions futures.,1.0
Problème signalé : le système affiche une erreur de registre depuis hier.,software,installation,normale,Conflit entre logiciels installés,Software,[],Installer et configurer le logiciel demandé avec les paramètres adaptés aux besoins du client,Créer des points de restauration avant toute modification système.,2.0
Suite à un appel client : excel affiche des erreurs de calcul Cela se produit souvent.,software,configuration,haute,Corruption du système d'exploitation,Software,[],Configurer les paramètres système et les droits d'accès selon les besoins de l'entreprise,Effectuer des sauvegardes régulières sur disque externe ou cloud.,1.0
Demande d'intervention : l'imprimante ne reconnaît plus le papier Cela se produit souvent.,hardware,reparation,normale,Défaillance matérielle due à l'usure,Hardware,"[""Disque SSD 256GB"", ""Câble SATA""]","Diagnostiquer et remplacer le composant matériel défaillant (disque dur, RAM, alimentation ou carte mère)",Remplacer la pâte thermique tous les 2 ans.,1.0
Signalement client : le système est bloqué sur l'écran de connexion Problème urgent.,software,configuration,critique,Licence expirée ou fichiers corrompus,Software,[],Configurer les paramètres système et les droits d'accès selon les besoins de l'entreprise,Effectuer des sauvegardes régulières sur disque externe ou cloud.,1.5
Signalement client : partage d'imprimante réseau impossible Cela se produit souvent.,reseau,depannage,normale,Surcharge de la bande passante,Réseau,[],"Redémarrer les équipements réseau, vérifier les câbles et renouveler la configuration IP pour rétablir la connexion",Mettre à jour le firmware des équipements réseau.,1.5
Client signale : le chargeur du laptop est cassé Le client a besoin d'aide.,hardware,reparation,normale,Vieillissement de la batterie,Hardware,"[""Carte mère""]","Diagnostiquer et remplacer le composant matériel défaillant (disque dur, RAM, alimentation ou carte mère)",Vérifier régulièrement l'état de la batterie et des ventilateurs.,2.5
Impossible d'installer un logiciel,software,installation,normale,Corruption du système d'exploitation,Software,[],Installer et configurer le logiciel demandé avec les paramètres adaptés aux besoins du client,Créer des points de restauration avant toute modification système.,0.5
Suite à un appel client : configuration d'un nouveau point d'accès wifi Problème urgent.,reseau,installation,normale,Câblage endommagé ou mal branché,Réseau,"[""Routeur fibre""]","Installer le câblage RJ45, le switch et configurer le réseau local complet des bureaux",Sécuriser le réseau WiFi avec un mot de passe fort WPA3.,2.0
Écran bleu fréquent RAM peut-être défectueuse Problème urgent.,hardware,maintenance,critique,Défaillance matérielle due à l'usure,Hardware,"[""Pâte thermique"", ""Spray air comprimé""]",Nettoyer la poussière avec air comprimé et remplacer la pâte thermique du processeur,Utiliser un onduleur pour protéger contre les coupures et surtensions.,1.5
Le client indique que écran bleu fréquent RAM peut-être défectueuse Cela se produit souvent.,hardware,reparation,critique,Connexion interne défaillante,Hardware,"[""Carte mère""]","Diagnostiquer et remplacer le composant matériel défaillant (disque dur, RAM, alimentation ou carte mère)",Utiliser un onduleur pour protéger contre les coupures et surtensions.,1.5
Client signale : désinstallation impossible d'un logiciel Cela bloque le travail.,software,installation,normale,Licence expirée ou fichiers corrompus,Software,[],Installer et configurer le logiciel demandé avec les paramètres adaptés aux besoins du client,Éviter les logiciels piratés qui peuvent contenir des malwares.,2.0
Le client se plaint que le réseau sans fil ne couvre pas tous les bureaux,reseau,depannage,normale,Équipement réseau défaillant,Réseau,"[""Switch 8 ports""]","Redémarrer les équipements réseau, vérifier les câbles et renouveler la configuration IP pour rétablir la connexion",Surveiller la bande passante et optimiser l'utilisation.,1.0
Demande d'intervention : la bande passante est saturée Merci d'intervenir rapidement.,reseau,configuration,faible,Câblage endommagé ou mal branché,Réseau,[],"Configurer le routeur, switch et DHCP pour mettre en place ou sécuriser le réseau local de l'entreprise",Documenter la configuration réseau pour faciliter les interventions futures.,1.5
Le client se plaint que le navigateur redirige vers des sites inconnus Merci d'intervenir rapidement.,software,reparation,normale,Erreur de configuration système,Software,[],"Scanner et réparer le système avec un antivirus à jour et les outils de réparation Windows (sfc /scannow, DISM)",Effectuer des sauvegardes régulières sur disque externe ou cloud.,1.0
Demande d'intervention : windows ne démarre plus écran bleu Le client est inquiet.,software,reparation,critique,Mise à jour défectueuse du système,Software,[],"Scanner et réparer le système avec un antivirus à jour et les outils de réparation Windows (sfc /scannow, DISM)",Mettre à jour régulièrement le système et les logiciels pour la sécurité.,2.0
Problème signalé : configuration accès distant rdp Problème urgent.,reseau,configuration,normale,Incompatibilité de protocoles réseau,Réseau,"[""Câble RJ45 5m""]","Configurer le routeur, switch et DHCP pour mettre en place ou sécuriser le réseau local de l'entreprise",Vérifier régulièrement les câbles et connexions réseau.,1.5
Suite à un appel client : microsoft office ne s'ouvre plus Merci d'intervenir rapidement.,software,configuration,faible,Infection par malware ou virus,Software,[],Configurer les paramètres système et les droits d'accès selon les besoins de l'entreprise,Éviter les logiciels piratés qui peuvent contenir des malwares.,0.5
Le client se plaint que le logiciel de facturation perd ses données Cela se produit souvent.,software,installation,normale,Mise à jour défectueuse du système,Software,[],Installer et configurer le logiciel demandé avec les paramètres adaptés aux besoins du client,Effectuer des sauvegardes régulières sur disque externe ou cloud.,2.0
Le touchpad du laptop est bloqué,hardware,maintenance,critique,Défaillance matérielle due à l'usure,Hardware,"[""Spray air comprimé"", ""Spray nettoyant""]",Nettoyer la poussière avec air comprimé et remplacer la pâte thermique du processeur,Éviter les chocs physiques et les environnements humides.,0.5
Le client indique que partage d'imprimante réseau impossible,reseau,configuration,normale,Incompatibilité de protocoles réseau,Réseau,[],"Configurer le routeur, switch et DHCP pour mettre en place ou sécuriser le réseau local de l'entreprise",Documenter la configuration réseau pour faciliter les interventions futures.,1.0
Client signale : la charnière du laptop est cassée depuis hier.,hardware,reparation,normale,Court-circuit dans l'alimentation,Hardware,"[""Connecteur de charge""]","Diagnostiquer et remplacer le composant matériel défaillant (disque dur, RAM, alimentation ou carte mère)",Nettoyer régulièrement l'intérieur du PC tous les 6 mois pour éviter la surchauffe.,3.0
Intervention requise : le logiciel de caisse ne fonctionne plus Le client a besoin d'aide.,software,reparation,critique,Infection par malware ou virus,Software,[],"Scanner et réparer le système avec un antivirus à jour et les outils de réparation Windows (sfc /scannow, DISM)",Éviter les logiciels piratés qui peuvent contenir des malwares.,2.0
Le client se plaint que le PC redémarre aléatoirement depuis ce matin.,hardware,maintenance,normale,Dommage physique suite à choc,Hardware,"[""Pâte thermique"", ""Spray air comprimé""]",Nettoyer la poussière avec air comprimé et remplacer la pâte thermique du processeur,Remplacer la pâte thermique tous les 2 ans.,1.5
Client signale : problème de routage entre deux sites,reseau,depannage,normale,Mauvaise configuration des paramètres réseau,Réseau,"[""Câble RJ45 5m""]","Redémarrer les équipements réseau, vérifier les câbles et renouveler la configuration IP pour rétablir la connexion",Sécuriser le réseau WiFi avec un mot de passe fort WPA3.,0.5
Réinstallation complète de Windows Merci d'intervenir rapidement.,software,installation,normale,Infection par malware ou virus,Software,[],Installer et configurer le logiciel demandé avec les paramètres adaptés aux besoins du client,Créer des points de restauration avant toute modification système.,0.5
Le client se plaint que le logiciel de facturation perd ses données Le client a besoin d'aide.,software,installation,faible,Mise à jour défectueuse du système,Software,[],Installer et configurer le logiciel demandé avec les paramètres adaptés aux besoins du client,Installer un antivirus fiable et le maintenir à jour.,0.5
Le scanner ne détecte plus les documents Le client est inquiet.,hardware,reparation,normale,Surchauffe causée par poussière accumulée,Hardware,"[""Connecteur de charge""]","Diagnostiquer et remplacer le composant matériel défaillant (disque dur, RAM, alimentation ou carte mère)",Utiliser un onduleur pour protéger contre les coupures et surtensions.,2.5
Problème signalé : le système de sauvegarde automatique est arrêté Cela bloque le travail.,software,configuration,faible,Licence expirée ou fichiers corrompus,Software,[],Configurer les paramètres système et les droits d'accès selon les besoins de l'entreprise,Créer des points de restauration avant toute modification système.,1.0
Boucle réseau détectée réseau instable Merci d'intervenir rapidement.,reseau,depannage,haute,Incompatibilité de protocoles réseau,Réseau,"[""Switch 8 ports""]","Redémarrer les équipements réseau, vérifier les câbles et renouveler la configuration IP pour rétablir la connexion",Surveiller la bande passante et optimiser l'utilisation.,1.0
Demande d'intervention : la carte mère émet des bips au démarrage depuis hier.,hardware,maintenance,normale,Surchauffe causée par poussière accumulée,Hardware,"[""Pâte thermique"", ""Spray air comprimé""]",Nettoyer la poussière avec air comprimé et remplacer la pâte thermique du processeur,Nettoyer régulièrement l'intérieur du PC tous les 6 mois pour éviter la surchauffe.,1.5
Client signale : configuration d'un réseau invité séparé Cela bloque le travail.,reseau,configuration,normale,Problème de sécurité réseau,Réseau,"[""Switch 8 ports""]","Configurer le routeur, switch et DHCP pour mettre en place ou sécuriser le réseau local de l'entreprise",Sécuriser le réseau WiFi avec un mot de passe fort WPA3.,2.5
Le client indique que nettoyage complet du système après infection,software,reparation,critique,Conflit entre logiciels installés,Software,[],"Scanner et réparer le système avec un antivirus à jour et les outils de réparation Windows (sfc /scannow, DISM)",Installer un antivirus fiable et le maintenir à jour.,1.0
Intervention requise : partage d'imprimante réseau impossible depuis hier.,reseau,installation,normale,Équipement réseau défaillant,Réseau,"[""Câble RJ45 10m"", ""Connecteurs RJ45""]","Installer le câblage RJ45, le switch et configurer le réseau local complet des bureaux",Mettre à jour le firmware des équipements réseau.,2.5
Problème signalé : le firewall bloque le trafic légitime Cela se produit souvent.,reseau,configuration,faible,Câblage endommagé ou mal branché,Réseau,"[""Switch 8 ports""]","Configurer le routeur, switch et DHCP pour mettre en place ou sécuriser le réseau local de l'entreprise",Mettre à jour le firmware des équipements réseau.,1.5
Suite à un appel client : l'ordinateur ne démarre plus du tout,hardware,reparation,haute,Dommage physique suite à choc,Hardware,"[""Ventilateur CPU"", ""Pâte thermique""]","Diagnostiquer et remplacer le composant matériel défaillant (disque dur, RAM, alimentation ou carte mère)",Nettoyer régulièrement l'intérieur du PC tous les 6 mois pour éviter la surchauffe.,2.5
Le client indique que l'ordinateur est infecté par un ransomware,software,configuration,critique,Infection par malware ou virus,Software,[],Configurer les paramètres système et les droits d'accès selon les besoins de l'entreprise,Effectuer des sauvegardes régulières sur disque externe ou cloud.,1.0
